title,field_policy_number,field_definition,langcode,field_topics,field_goals,field_objectives,field_short_name,body
Theme D - Placemaking Policy 8,8,Develop a tactical placemaking program within the Division of Planning to work with interested neighborhoods and aid in the organization of activities.,en,topic: Quality of Life,A3:D2:D4:F1,A2c:A3b:B3d:C2d:E1b,Tactical Placemaking Program,"According to Placemaking as an Economic Development tool by Michigan State University in 2015, “Tactical placemaking” is a process of creating quality places that uses a deliberate, often phased approach to physical change or new activation of space that begins with a short-term commitment and realistic expectations that can start quickly (and often at low cost). It targets public spaces (right of way, plazas, etc.) that are low risk, with the possibility of high rewards. It can be used continuously in neighborhoods, with many stakeholders."
Theme D - Placemaking Policy 9,9,"Honor Lexington’s history by requiring new development and redevelopments to enhance the cultural, physical, and natural resources that have shaped the community.",en,"topic: Housing, Economic Development, Greenspace, Quality of Life",A3:A4:D3,A2b:A3a:A3c:B3b:B3d:C1d:D2c:D3a:D3b:D3c:E1d:E2a:E2b,Enhance Lexington's History,"Lexington’s history can be told in many ways, but none better than to look around and see the cultural places, the important structures, and the natural landscapes that created this community.  In order for the community to continue to move forward, there must be recognition of the importance of the past, ensuring that it lives on for future generations. Lexington and rural Fayette County have a rich and diverse cultural history that began before statehood.  This heritage is evidenced in the natural environment of the County’s rural landscape and the built environment of its urban areas."
Theme D - Placemaking Policy 10,10,Coordinate with the Public Art commission to designate public art easements on new development that would be curated by the Commission.,en,"topic: Economic Development, Quality of Life, Community Facilities",A3:D4,A2b:A2d:A3b:C1d:C2d,Public Art Easements,"The creation of the adaptive reuse ordinance in 2008 was the first time the zoning ordinance considered any provision for public art on private property.  Since that time, public art in Lexington has become a substantial part of the urban fabric.  Having the public art commission work with HOAs or neighborhood groups to designate locations in existing development, as well as rotate public art installations for display, would assist those groups that are interested in supporting the arts but are not sure where to begin."
Theme D - Placemaking Policy 11,11,Update the Adaptive Reuse Ordinance,en,"topic: Housing, Economic Development, Quality of Life",A1:A2:A3:B2:C1,A1a:A1b:A1d:A2a:A2b:A2d:A3a:A3b:C1b:C1d:C1e:C2d:D3a:D3b:D3c:E1b:E1d,Adaptive Reuse Ordinance,"The creation of the Adaptive Reuse provisions in the Wholesale Warehouse (B-4) and Light Industrial (I-1) zones was a boon to Lexington’s economy.  Adaptive reuse projects were typically located in areas where the original land uses were no longer desirable because of their lack of proximity to major travel corridors.  Many of these older industrial areas are also located very close to well established neighborhoods, because housing within walking distance of these major employers was highly desirable."
Theme D - Placemaking Policy 12,12,Analyze underutilized commercial property through corridor land use and transportation studies.,en,"topic: Housing, Transportation, Economic Development",A1:A2:A3:B2:D1:E1,A1a:A1b:A1c:A1d:A2a:A2d:A3a:A3b:B2c:B2d:C1d:C2a:C2b:C2d:D1a:D1b:D1c:E1a:E1b:E1c:E1d,Underutilized Commercial Property,"The goals and objectives of this comprehensive plan very plainly call for an intensification of the major corridors. Other proposed policies throughout the document have taken aim at the regulatory side of the equation.  Another critical aspect of this policy framework is to engage the public along these corridors about these issues and what forms these intensifications may take.  Long Range Planning has already begun meeting with various commercial landowners, developers and property managers about their visions for their sites and how they can take advantage of the already modified zoning tools."
Theme D - Placemaking Policy 13,13,Update the Downtown Master Plan.,en,"topic: Housing, Transportation, Economic Development, Greenspace, Quality of Life",A2:B3:C1:C2:D1:D4:E1,A1a:A2d:B3c:C1a:C1b:C1c:C1d:C1e:C2a:C2b:C2c:C2d:D1a:D1b:D1c:D1d:E1b:E1c:E1d,Downtown Master Plan,"The current Downtown Master Plan focused largely on specified projects and proposed infill locations.  Since its adoption, the identified projects have largely either been completed or jettisoned for one reason or another.  Further, the broad focus on infill lot identification did little to provide guidance on how those properties should develop.  A more refined approach to look at use and form is overdue, as is a deep dive on how infill projects will fit in and enhance their surrounding areas."
Theme D - Placemaking Policy 14,14,Pursue a regional park system.,en,"topic: Greenspace, Health, Quality of Life, Community Facilities",A3:A4:B3:C1:C2:D2,A2c:A3b:A3c:A3d:B2b:B3b:B3c:B3d:C1d:C2d:D1b:E1b,Regional Park System,"Regional parks can provide multiple community-wide benefits relating to public health, recreation and environmental protection. They serve the city as a whole, in comparison to smaller parks, which meet local needs. Such parks are typically fairly large in terms of acreage, and often include significant environmental features such as waterbodies, floodplains, forests or sensitive natural habitats.  
"
Theme D - Placemaking Policy 15,15,Develop a new citywide festival to entice visitors and provide additional draw during the tourism off-season.,en,"topic: Economic Development, Quality of Life",C2:D4,A3b:C1b:C1d:C2d,Develop a Citywide Festival,"In late 2017, VisitLex shared their Destination Development Plan with the Council at a work session, and recommended the creation of a major festival.  Many communities around the United States and the world have unique festivals that draw visitors from around the globe.  Examples like the Jazz & Heritage festival in New Orleans, the Sundance Film Festival in Park City Utah, and the more obscure Ostrich Festival in Chandler, Arizona, show that there is a lot of latitude when determining the focus of the festival."
Theme D - Support Policy 1,1,Ensure school sites are designed to integrate well into the surrounding neighborhood.,en,"topic: Transportation, Health, Quality of Life, Community Facilities",A3:A4:B2:D1:D2,A3b:A4a:A4b:B2d:C1e:C2a:D1a:D1b:D2c:E1b,Integrate School Sites with Neighborhood,"Theme A (Growing Successful Neighborhoods) highlights the large role that design plays in successful neighborhoods, whether it be on a large or a small scale, and Lexington’s schools are no exception. The design and integration of schools into the surrounding neighborhood is as important to the desirability of an area as is the design, layout and architecture of the streets and residences. The school property itself, as well as its location within and its relationship to the surrounding neighborhood, is crucial and should be accessible, visually as well as physically."
Theme D - Support Policy 2,2,"Incorporate natural components into school site design to further the goals of Theme B (Protecting the Environment), but also to provide calming elements that reduce student stress and anxiety.",en,"topic: Greenspace, Health, Quality of Life, Community Facilities",A3:B2:B3:D1:D2,A3b:A3c:B2b:B3a:B3b:B3c:B3d:D1a:D1b:D2b:D2c:E1b,Natural Components in School Sites,"With many Fayette County schools due for expansion and/or renovations in the coming year(s) and the additional group of new schools slated for construction, consideration must be given to the significance of site design that extends beyond the building and into the natural landscape that immediately surrounds the property.  While emphasis must be placed on creating classroom spaces with layouts and technology that support students’ intellectual growth, it is just as important to consider the influence of the natural landscape in creating an ecosystem where students can foster growth and resilience."
Theme D - Support Policy 3,3,Support the maintenance and expansion of a robust wireless communications network creating reliable service throughout Lexington’s urban and rural areas.,en,"topic: Economic Development, Quality of Life, Community Facilities",C1:C2:D2,C1b:C1d:C2a:C2b:C2c:C2d,Wireless Communications Network,"In the last several Comprehensive Plans, as well as in the Rural Land Management Plan, the importance of wireless communication has been recognized as integral to the safety and welfare of the community – in both the Urban Service Area and the Rural Service Area.  Having become a critical form of infrastructure in the last several years (as much as water, gas or electricity), it is important to be able to provide wireless service for use by residents, commercial entities, and emergency services."
Theme D - Support Policy 4,4,Provide equitable healthcare opportunities throughout Lexington to allow for the wide range of medical needs of all populations.,en,"topic: Health, Community Facilities",A4:D2,A4b:C2a:D2b,Equitable & Robust Healthcare,"The healthcare industry is one of Lexington’s primary economic drivers, because it is a hub for medical services of all levels – from clinics and doctor’s offices to hospitals and the regional trauma center at Chandler Medical Center.  Providing healthcare to all citizens should be an easy task to accomplish as these facilities seem to be available, but there are broader issues that prevent access to healthcare, all of which cannot be address through the Comprehensive Plan.  A greater understanding of the existing barriers to healthcare will help develop a healthier community."
Theme D - Support Policy 5,5,"Provide equity in social services by ensuring those in need are served by social service community facilities that address homelessness, substance abuse, mental health, and other significant issues.",en,"topic: Health, Community Facilities",A4:D2,A4b:D2b:D2c,Social Service Equitability,"The typical community facilities that serve Lexington-Fayette County, including libraries, schools, fire and police stations, sanitary sewers and stormwater facilities, have been addressed in planned documents and discussed over the course of many decades.  The social service community facilities addressing homelessness, substance abuse, mental health and other significant issues have not been addressed in the same manner.  Although the Division of Social Services exists, its interaction with the Planning Commission and the Division of Planning has been minimal over this same time period."
Theme D - Support Policy 6,6,"Ensure all social service and community facilities are safely accessible via mass transit, bicycle, and pedestrian transportation modes.",en,"topic: Transportation, Health, Community Facilities",A4:B2:D1:D2,A3b:A4a:A4b:A4c:B2d:D1a:D1b:D1c:D2b:D2c:E1b:E1c,multimodal Access to Services & Facilities,"While connectivity and accessibility are important for all places within the community, they are especially vital for the places that provide services to our more vulnerable populations. A great many people that require social services rely on alternative forms of transportation aside from single-occupancy vehicles.. The connections between those modes of transportation and the services and facilities themselves can make receiving services easier for these populations."
Theme D - Support Policy 7,7,Continue to support the provision of high speed internet services throughout Lexington.,en,"topic: Economic Development, Quality of Life, Community Facilities",A4:C1:C2:D2,C1a:C2b:C2d:E1b,Support High Speed Internet,"Quality and dependable high speed internet is vital to top-tier businesses, small entrepreneurs, and private personal device users alike.  As of late 2017, the Council voted to approve a 10-year franchise agreement to MetroNet, a company new to the Lexington market, to provide gigabit speed internet service.  This would drastically increase speeds available to Lexington citizens and should help with retaining and attracting businesses.  Construction began in early 2018 on the southeastern portion of Lexington, and will continue at no up-front cost to the City."
Theme D - Support Policy 8,8,Build upon the success of the Senior Citizens’ Center to provide improved quality of life opportunities for the largest growing population demographic.,en,"topic: Health, Quality of Life, Community Facilities",A4:D2,A3b:A4b:D2c:E1b,Quality of Life for Seniors,"As increasing numbers of “Baby Boomers” choose to the leave the workforce, the need for meaningful social interaction opportunities for seniors will be increasingly important.  The Lexington Senior Center and its three satellite sites (Charles Young Center, Bell House, and Eldercrafters at the Black and Williams Center) serve residents of Fayette County 60 years and older.  Each center is unique in its specific offerings, but all provide a safe and inviting environment for senior adults to spend their leisure time enjoying recreation, social, art and educational opportunities."
Theme D - Support Policy 9,9,Implement creative housing opportunities that are both accessible & affordable for seniors & people with disabilities.,en,topic: Housing,A1:D2,A1a:A1c:A1d:A2d:D1b:E1b,Accessible & Affordable Housing,"The “baby boom” generation has historically not conformed to status quo; instead, this group has been trailblazers for the types of social change that tend to give the individual more autonomy in all things.  For instance, this group changed the way childbirth was perceived.  Prior to the “baby boomers” coming of age, childbirth was seen as a medical condition and husbands and families were excluded from the birthing process.  This did not sit well with the “boomers” who demanded changes to this archaic practice, instead viewed childbirth as an inclusive family celebration."
Theme E - Accountability Policy 1,1,Create a new process for determining long-term land use decisions involving the Urban Service Boundary (USB) and Rural Activity Centers.,en,"topic: Agriculture, Greenspace",A3:B3:C2:C3:D1:D2:D3:E1:E2:E3:E4,A1a:A1d:A2d:A3a:B2b:B3b:B3d:C2a:D1a:D1b:D1c:D3a:D3b:D3c:E1a:E1b:E1c:E1d:E1e:E2a:E2b:E4a:E4b:E4c:E4d:F2a,Urban Service Boundary Process,"The 2018 Goals & Objectives for Imagine Lexington call for creating a new process for determining the when, where, why, and how of future USB modifications. This advocacy for a new way of looking at the USB is the cornerstone of this Comprehensive Plan, and is the next evolution of the nation’s first urban service boundary. It should be a revolutionary take on the concept, which could create a nationally replicable model. Council has already appropriated $150,000 to hire a consultant to assist in the creation of this process, which will determine the elements listed below."
Theme E - Accountability Policy 2,2,"Modernize the Zoning Ordinance to reflect the direction of the 2018 Comprehensive Plan, proactively planning for the next 20 years of growth.",en,"topic: Housing, Transportation, Economic Development, Agriculture, Greenspace, Health, Quality of Life, Community Facilities",A1:A2:A3:A4:B1:B2:B3:C1:C2:C3:D1:D2:D3:D4:E1:E2:E3:E4:F1:F2,A1a:A1b:A1c:A1d:A2a:A2b:A2c:A2d:A2e:A3a:A3b:A3c:A3d:A4a:A4b:A4c:B2a:B2b:B2c:B2d:B3a:B3b:B3c:C1a:C1b:C1d:C1e:C2a:C2b:C2c:C2d:D1a:D1b:D1c:D1d:D2a:D3a:D3b:D3c:E1a:E1b:E1c:E1d:E1e:E2a:E2b:E4a:E4b:E4c:E4d:F1a:F1b:F1c:F1d,Modernize the Zoning Ordinance,"The last major overhaul of Lexington’s Zoning Ordinance in 1983, much needed in the wake of the City and County merger, also included significant revisions to the Land Subdivision Regulations. There was a focus on raising the bar for future development and ensuring that public infrastructure be built to standards that more adequately addressed public health and safety. Much has changed in the community since that time, but the ordinance has only seen many small revisions to accommodate those significant changes."
Theme E - Accountability Policy 3,3,"Implement the Placebuilder, which includes criteria for zone change applications, based upon the goals and objectives, to ensure development compliance with the Comprehensive Plan.",en,"topic: Housing, Transportation, Economic Development, Agriculture, Greenspace, Health, Quality of Life, Community Facilities",A1:A2:A3:A4:B1:B2:B3:C1:C2:C3:D1:D2:D3:D4:E1:E2:E3:E4:F1:F2,A1a:A1b:A1c:A1d:A2a:A2b:A2c:A2d:A2e:A3a:A3b:A3c:A3d:A4a:A4b:A4c:B2a:B2b:B2c:B2d:B3a:B3b:B3c:C1a:C1b:C1d:C1e:C2a:C2b:C2c:C2d:D1a:D1b:D1c:D1d:D2a:D3a:D3b:D3c:E1a:E1b:E1c:E1d:E1e:E2a:E2b:E4a:E4b:E4c:E4d:F1a:F1b:F1c:F1d,Implement the Placebuilder,"Imagine Lexington is full of policies that guide how development should occur throughout the city, and all of them are important. However, it can be difficult to ascertain by simply glancing at the text of the plan what developers should be aiming for with new proposed development or redevelopment. Additionally, adjacent property owners should also be aware of which policies should be considered for a particular application, and what types of development they can expect."
Theme E - Accountability Policy 4,4,Develop growth benchmarks and determine best measurable methods to monitor them and report progress on a regular basis.,en,"topic: Housing, Transportation, Economic Development, Agriculture, Greenspace, Health, Quality of Life, Community Facilities",A2:B1:B2:C1:C2:C3:D1:D2:D3:D4:E1:E2:E4:F2:F3,A1a:A1b:A1c:A1d:A2a:A2c:A2d:A3a:A3b:A3c:A3d:A4b:A4c:B2a:B2c:B2d:B3a:B3b:B3c:C1a:C1b:C1d:C1e:C2a:C2b:C2c:C2d:D1a:D1b:D1c:D1d:D2a:D3a:D3b:D3c:E1a:E1b:E1c:E1d:E1e:E2a:E2b:E4a:E4b:E4c:E4d:F2a:F2b,Develop Benchmarks & Metrics,"Plans are only as good as their ability to gauge measurable results in a timely fashion. To know if a plan is reaching desired outcomes, it is imperative to track the successes and failures so future adjustments can be made and successes replicated.  Imagine Lexington is crafted as a policy-based plan with very specific goals in mind. Basic metrics are included as a component of this comprehensive plan, but should be supplemented by additional benchmarks identified in the process discussed in Accountability Policy #1."
Theme E - Accountability Policy 5,5,"Increase dedicated bike lanes, pedestrian and transit facilities in the existing right-of-way, focusing on moving people rather than exclusively single-occupancy vehicles.",en,"topic: Transportation, Health",A3:D1:D2,A3b:A4c:B2d:C1d:C2d:D1a:D1b:D1c:E1b,Increase Alternative Transit Facilities,"Historically, public infrastructure has been focused on creating the easiest and fastest means of transit for single-occupancy vehicles. This resulted in abundant wide lanes of paved asphalt, but limited pathways for pedestrians, cyclists or transit riders. However, an increasing number of people use these streets in different ways; some by personal choice, others because of various constraints. There are many benefits of alternative transportation, such as biking, walking and public transit, some of which are illustrated in the Lexington Area Bicycle & Pedestrian Master Plan 2018."
Theme E - Accountability Policy 6,6,Partner with other agencies like the Lexington Public Library to create a public outreach opportunity that provides decision-makers with input and creates neighborhood leaders across all demographics and geographies.,en,"topic: Quality of Life, Community Facilities",F1,A2d:A2e:D2c:E1b:F1a:F1b:F1c:F1d,Public Outreach & Neighborhood Leaders,"In 2017, as part of a partnership with the Blue Grass Community Foundation, Leadership Lexington, Fayette County Public Schools, and many other organizations, the Division of Planning sought input into this Imagine Lexington plan with On the Table. This innovative outreach tool changed the dynamic of civic engagement for Lexington and leveraged powerful partnerships to hear from active citizens who were hungry for both food and meaningful conversation."
Theme E - Stewardship Policy 1,1,"Update Lexington’s stone fence inventory, and pursue additional protections for this iconic and historic cultural asset.",en,"topic: Economic Development, Agriculture, Greenspace, Quality of Life",B3:D3:D4:E2,B3b:C1b:C1d:C2d:D3a:D3c:E2a:E2b,Stone Fence Inventory,"Stone fences are iconic to the historic and cultural landscape of Lexington’s rural heritage. They play a unique role in the region’s identity and contribute to the scenic views, rural corridors and rolling hills. Despite the role stone fences play in defining the sense of place within the Inner Bluegrass Region, they are in critical danger of being lost to development and neglect."
Theme E - Stewardship Policy 2,2,"Capitalize on the diverse economic development, housing, and tourism opportunities throughout the Bluegrass Region and engage in discussions to further connect regional economic hubs.",en,"topic: Housing, Transportation, Economic Development",C1:C2:D1:F3,C1a:C2d:D1c:F3a:F3b,Connect Regional Economic Hubs,"As Lexington’s economic and social capital grows, there will be impacts on surrounding counties and cities. The latent effects of these successes can change neighboring communities in a variety of ways, including their economies, housing stock, and industrial development. In an effort to produce a regional vision for the future which allows all communities to benefit, a policy of collaboration should be developed with Lexington’s neighboring cities."
Theme E - Stewardship Policy 3,3,"Increase regional transportation cooperation and pursue multimodal transportation options, to facilitate inter-county connectivity.",en,"topic: Transportation, Economic Development, Health",B2:D1:F3,B2d:C1d:D1a:D1b:D1c:E1b:F3a:F3b,Facilitate Inter-county Connectivity,"A regional transportation network provides for the movement of goods and people though a multimodal system, which includes trains, trucks, buses, cars, bikes, and pedestrian options. As the regional transportation network grows, a viable system of accessible transportation alternatives should be implemented for residents and commuters alike. This includes complete streets that give consideration to bicycle and pedestrian traffic in addition to cars, trucks, buses, and ride sharing options while utilizing the latest innovative advancements in technology."
Theme E - Stewardship Policy 4,4,Coordinate with surrounding counties to capitalize on the inherent tourism draws of the Bluegrass Region.,en,"topic: Economic Development, Agriculture, Greenspace",C1:D3:E2:F3,B2b:C1a:C1b:C1d:C2a:E2a:E2b:F3a:F3b,Coordinate Tourism of the Bluegrass Region,"Lexington is not alone in reaping the natural and historical benefits of the Bluegrass Region, as the surrounding counties all have similar assets, as well unique cultural and historic draws that make the region an attractive tourist destination. Some of the attractions cross county boundaries, such as the bluegrass landscape, horse farm tours, the Bourbon Trail, and the Brewgrass trail; while others are locally specific, such as Shaker Village in Mercer County or the Kentucky Castle in Woodford County."
Theme E - Stewardship Policy 5,5,"Fully realize the development potential within Lexington’s Rural Activity Centers while avoiding negative impacts to surrounding agriculture, Rural Settlements, and viewsheds.",en,"topic: Economic Development, Agriculture",B3:C1:C2:C3:D3:E2:E3,B2b:B3b:C1a:C1b:C2a:C2c:E1b:E2a:E2b,Rural Activity Centers,"The 2017 Rural Land Management Plan has a stated policy emphasis for the Rural Activity Centers (RACs) to “maximize their potential for jobs while maintaining their boundaries and minimizing impacts to the rural area.” The Rural Service Area (RSA) includes 1,562 acres dedicated to the four RACs: Blue Sky Industrial Park, Avon (Blue Grass Station), Spindletop Research Park, and the Blue Grass Airport."
Theme E - Stewardship Policy 6,6,Identify new compatible agritourism and ecotourism land uses that would enhance Lexington’s economy and provide additional income-generating possibilities for local farmers.,en,"topic: Economic Development, Agriculture",B3:C1:D3:E2,B2b:B3b:C1a:C1b:C1d:C2a:C2d:E1b:E2a,Agritourism & Ecotourism,"The Agritourism Zoning Ordinance Text Amendment was important in further establishing protections for the horse industry, as well as other agriculture industries. The impact of that text amendment should be monitored to identify opportunities to add further complementary uses that expand tourism options without negatively affecting existing industries. There remains considerable rural land that is geographically and topographically unsuitable for standard agricultural uses that should be considered for additional agritourism uses."
Theme E - Stewardship Policy 7,7,"Consult with planning departments of adjacent counties to find common Comprehensive Plan goals, objectives and implementation items where shared benefits could be gained by working together.",en,"topic: Housing, Transportation, Economic Development, Agriculture, Greenspace, Health, Quality of Life, Community Facilities",F3,A2d:B3d:F3a:F3b,Consult with Adjacent Counties,"Regional planning efforts in the past have been difficult endeavors for many reasons; however, there is a shared goal among staff from all of Lexington’s regional neighbors to advance the basic principles of urban planning. While there are significant differences in the underlying ordinances that control zoning from county to county, all of the neighboring counties have adopted comprehensive plans, which share many goals and objectives."
Theme E - Stewardship Policy 8,8,"Address economic, environmental, and social sustainability of new development to thoughtfully utilize Lexington’s resources for present needs while considering those of future generations.",en,"topic: Housing, Transportation, Economic Development, Agriculture, Greenspace, Health, Quality of Life",A3:B1:B2:B3:C1:C2:C3:D2:E1:E2:E3:F2,A1a:A2d:A3b:A3c:A3d:A4b:B2b:B2c:B2d:B3b:B3c:C1b:C1d:C1e:D1a:D1b:D1c:D2a:D2b:D2c:E1b:E1c:E1d:E1e:E2a:E2b:F2c,Sustainability for Present & Future,"The focus of sustainable development is to raise the standard of living for current residents without precluding the same opportunity to future generations. There are three facets to sustainability through which all proposed development should be reviewed: Economic, Social, and Environmental. It is indeed possible to promote growth in a sustainable way by ensuring that goods and services can be easily distributed and that there are sufficient jobs to support the provision of government services. At the same time, reducing the fiscal impact of growth must be considered as well."
Theme E - Stewardship Policy 9,9,Follow and implement the recommendations of the 2007 Study of Fayette County’s Small Rural Communities and the 2017 Rural Land Management Plan to protect and preserve Lexington’s rural settlements.,en,"topic: Economic Development, Agriculture",B3:D3:E1:E2:E3,B3b:C1b:D3a:D3b:D3c:E1b:E2a:E2b,Protect & Preserve Rural Settlements,"Lexington has 19 rural settlements that are essential to the history and fabric of the rural landscape. Three of the historic settlements, Bracktown, Cadentown, and Jonestown, have been absorbed into the Urban Service Area, while 16 reside in the Rural Service Area, totaling 505 acres. The majority of the rural settlements were settled by free African-Americans after the Civil War. Many descendants of those who first settled these communities still remain on the same land today and operate small farms and businesses."
Theme E - Growth Policy 1,1,Revisit Infill and Redevelopment Area regulations to ensure they are compatible with Imagine Lexington and are encouraging desired development.,en,"topic: Housing, Transportation, Economic Development, Greenspace, Health, Quality of Life",A1:A2:A3:E1,A1a:A1b:A1c:A1d:A2a:A2b:A2c:A2d:A3a:A3b:C2a:E1a:E1b:E1c:E1d,Infill & Redevelopment Area Regulations,"The first Infill & Redevelopment Committee was created in 1996, which led to the 2001 Residential I/R Study, official adoption of the defined Infill & Redevelopment Area in the 2001 Comprehensive Plan, and subsequent regulatory changes to implement the Plan. The I/R Area boundary is based on the 1934 urbanized area of Lexington and its surroundings, which was primarily developed in traditional patterns prior to the adoption of the Zoning Ordinance."
Theme E - Growth Policy 2,2,Capitalize on the current momentum of downtown development and improvements by working to identify and enhance opportunities for redevelopment.,en,"topic: Economic Development, Quality of Life",A1:A2:A3:B2:C1:E1,A1a:A1b:A1d:A2a:A2b:A3a:A3b:B2c:C1d:C1e:C2a:C2d:E1b:E1d,Downtown Development & Improvements,"The implementation of the infill and redevelopment boundary and its corresponding special zoning provisions was a boon to downtown growth, coming at a time when citizens began to take interest, once again, in living in a more urban setting. Demographically, Baby Boomers were looking to downsize, along with new young professionals beginning to demand smaller housing types located closer to amenities. Recent developments near downtown do not indicate any anticipated shift in these preferences."
Theme E - Growth Policy 3,3,"Provide varied, abundant, and connected greenspaces throughout Lexington’s urban and rural areas.",en,"topic: Agriculture, Greenspace, Health, Community Facilities",A3:B2:B3:D2:D3:E2,A2c:A3b:A3c:A3d:B2b:B3a:B3b:B3c:C1d:C2d:D1b:E1b:E2a:E2b,"Varied, Abundant, & Connected Greenspaces","The Bluegrass identity sets Lexington apart from the rest of the world. It is vital that this identity be preserved and maintained through the designation and preservation of greenspace; growth should strike a harmonious balance between development and preservation. Lexington has and should continue to provide abundant new greenspace and greenways, while preserving existing natural areas that continue to foster and promote growth."
Theme E - Growth Policy 4,4,Promote the adaptive reuse of existing structures.,en,"topic: Housing, Economic Development",A1:A2:A3:B2:C1:E1,A1a:A1b:A1d:A2a:A2d:A3a:A3c:B2c:C1e:C2a:D3b:D3c:E1a:E1b:E1c:E1d,Adaptive Reuse,"Structures often outlive the function that they were built to serve, and there is nothing new about stabilizing and rehabbing an old structure; however, under modern Zoning Ordinance provisions, refitting an old building for a new use is often problematic, particularly given the existing suburban parking requirements. The most drastic examples of this in Lexington were in the older industrial areas located within the defined Infill & Redevelopment Area."
Theme E - Growth Policy 5,5,"Utilize critical evaluation to identify and preserve Lexington’s historic assets, while minimizing unsubstantiated calls for preservation that can hinder the city’s future growth.",en,"topic: Economic Development, Quality of Life",A2:A3:C1,A2a:A2b:A3a:D3a:D3b:D3c:E1b:E1d:E2a:E2b,Historic Assets & Future Growth,"With any future development of Lexington, reverence and critical review of the city’s history is imperative. Through the utilization of existing preservation policies, specifically through the Division of Historic Preservation, and through partnership with organizations like the Blue Grass Trust for Historic Preservation and the National Register of Historic Places, Lexington can protect, preserve, and enhance its stock of historic properties, which act as a bridge between present day and Lexington’s 243-year history.
"
Theme E - Growth Policy 6,6,Address new development context along the boundaries of existing Historic Districts to enhance historic areas while encouraging infill and redevelopment.,en,"topic: Housing, Economic Development, Quality of Life",A2:A3:B3:C1:D3,A1b:A2a:A2b:A2d:A3a:B3b:D3a:D3b:D3c:E1b:E1c:E1d,New Development & Historic Districts,"Traditionally, the application of zoning has been almost universally about softening the edges of varying land uses against each other. American economic shifts have resulted in less need for stepdown zoning, as today planners are less likely to need to address mitigating the impacts of manufacturing and industrial uses on less intense areas directly adjacent. On the other hand, preservation efforts of the last few decades have increased the desire to mitigate issues of context between old and new."
Theme E - Growth Policy 7,7,"Lexington should be proactive, highly agile, and adaptable in pursuing changes to transportation and land use policy that harness the benefits of autonomous vehicles (AV) and limit the potential detriments.",en,topic: Transportation,B2:D1,A2d:A3b:B2d:C2d:D1a:D1b:D1d:E1b,Autonomous Vehicles,"While computer technology has improved rapidly and dramatically over the last 20 years, conversely, automobiles have traditionally followed a much more deliberately slow-paced and methodical development process, primarily to ensure that safety is enhanced with every iteration of advancement. But as cars have become more like computers, there has been a shift in the design process, from designing a car that can withstand a crash to designing a car that avoids the crash in the first place."
Theme E - Growth Policy 8,8,"Identify catalytic redevelopment opportunities to proactively rezone properties, clear regulatory hurdles, and expedite redevelopment in key areas that will ignite further economic growth.",en,"topic: Housing, Transportation, Economic Development",A1:A2:A3:C1:C3:D1,A1a:A1b:A1c:A1d:A2a:A2d:A3a:C1a:C1b:C2a:C2c:D1a:D1b:D1c:E1b:E1c:E1d,Proactively Rezone Properties,"Previous small area plans, which contained future land use recommendations, have been critical to facilitating future development in those locations. Recommendations in the South Nicholasville Road Small Area Plan led the way for The Summit at Fritz Farm, an area that had been the subject of numerous failed zone change attempts in the past. While in the Winburn- Russell Cave Small Area Plan, specific recommendations for public improvements were immediately implemented through Urban County Council action, approving funds for constructing the completion of Winburn Drive to Citation Boulevard."
Theme E - Growth Policy 9,9,Support the “Missing Middle Housing” types throughout Lexington.,en,topic: Housing,A1:A2:A3:E1,A1a:A1b:A1c:A1d:A2a:A2b:A2d:A3a:A3b:C2d:E1b:E1d,Missing Middle Housing,"Historically, Lexington and many other cities were built with a mix of housing types that included single-family homes, small four-plexes, carriage houses, stacked duplexes, courtyard apartments, and larger apartment clusters, all with fewer off-street parking spaces in walkable neighborhoods that were the fundamental building blocks of the city. Many of these neighborhood features became non-conforming uses and slowly disappeared, for a variety of regulatory, social and economic reasons, as the development community and the Zoning Ordinance became more focused on suburban expansion, which favored the automobile and separation and isolation of uses."
Theme E - Growth Policy 10,10,"Support the enhancement, reuse, and/or redevelopment of underutilized property to fit the changing retail landscape, increase development viability, and bolster enhanced mass transit options.",en,"topic: Housing, Transportation, Economic Development, Quality of Life",A1:A2:A3:B2:C1:D1:E1,A1a:A1b:A1c:A1d:A2a:A2b:A2d:A3a:A3b:B2c:B2d:C1a:C2d:D1a:D1b:D1c:E1a:E1b:E1c:E1d,Underutilized Property,"Since the beginning of the century, the United States has seen significant growth in annual e- commerce sales. Shifts in consumer behavior, particularly among millennials, have contributed to a near 15% increase in online sales revenue every year since 2010. While e-commerce only makes up about 10% of the U.S.’s total retail annual revenue (with the remaining 90% coming from traditional brick and mortar stores), its unprecedented growth and accessibility has some forecasting e-commerce’s eventual reign over the retail sector."
