title,field_policy_number,field_definition,langcode,field_topics,field_goals,field_objectives,field_short_name,body,field_bulleted_list,field_rural_development
Theme D - Connectivity Policy 5,5,"Streets should be designed for the desired speed, using built-in traffic calming measures such as roundabouts, narrower street widths, chicanes, medians, etc.",en,"topic: Transportation, Health",A3:B2:D1:D2,A3b:D1a:D1d:E1b,Design Streets for the Desired Speed,"In Lexington, speeding is a common complaint on wider streets, particularly those classified as collectors. These streets, which are wider by design, create faster vehicle speeds, regardless of the posted speed limit, due to the driver’s perception of a wide open space. In contrast, streets should be designed such that bicyclists, pedestrians, and mass transit riders feel comfortable and encouraged to freely share the space with automobiles. This can be accomplished through the appropriate use of traffic calming features such as roundabouts, medians, street trees, chicanes, reduced building setbacks, shorter block lengths, and narrower street widths.

Reductions in vehicle speed significantly decrease injuries and fatalities for both vehicular and non-vehicular users alike. Employing traffic calming techniques such as those listed above increases motorists’ attentiveness to the surrounding context, and if considered early in the design process, they carry the additional benefit of eliminating the need for costly traffic calming retrofits.

Studies have shown that each 1-mph reduction in average traffic speed reduces vehicle collision rates by 3 to 6 percent. Additionally, studies have shown that 80 percent of pedestrians struck by a car going 40 mph will suffer a fatality, while at 30 mph, the likelihood of death is reduced to 40 percent. At 20 mph, that figure drops to just 5 percent, illustrating the importance vehicle speed plays in pedestrian safety. The likelihood of a pedestrian collision occurring at lower speeds is also reduced due to shorter braking distances.
Rather than addressing Lexington’s roadways after the fact, designs should be initiated at the development and planning phase to create the appropriate street width to restrict vehicle speed.",,Off
Theme D - Connectivity Policy 6,6,"Take a holistic approach to designing context-sensitive streets, addressing them within the framework of the countywide network context and the needs of all users.",en,"topic: Transportation, Health, Quality of Life",A3:B2:D1,A2b:A3b:B2d:C1d:D1a:D1b:D1c:E1b,Holistically Design Streets,"The benefits of context-sensitive multimodal street design are many, but all encompass the responsibilities that designers ensure the health, safety and welfare of the people who will use this public space.  These benefits include:

Safety
The safety of all users is a priority, whether they use a car, bus, bicycle, wheelchair, stroller, cane, or walk. 

Choice
Whether used to commute to work or school, to run errands, to visit friends, to go to a park, or to recreate and exercise close to home, streets must be designed with all users in mind. 
Connected streets provide multiple route options and continuous, convenient facilities without gaps, while reducing delays and congestion—creating a more efficient network.

Equity
Improved accessibility and independence.  By improving access for all, complete streets enable greater freedom of travel for people who do not drive due to age, disability, expense, or choice.

Economy
Connected multimodal streets save individuals money on direct transportation costs by making less costly alternatives to the automobile more readily available, including biking, walking, and transit. Increased physical activity from biking or walking may also save individuals on health-related costs.

Governments and communities save money with the implementation of complete streets.  With more travel options and a more connected network, public vehicles may travel fewer miles and reduce backtracking along discontinuous routes.  Allowing more people to walk and bike can reduce health costs paid by the government.  Less traffic, less pavement, and more street trees reduce the costs associated with cleaning polluted air and water. Dispersed traffic lessens the need for expensive road widening. Less pavement saves in maintenance costs. Connectivity saves infrastructure costs. Smart growth development practices generally require less initial cost to construct and maintain, as they are more compact and require fewer public services annually.

Connected multimodal streets save developers money, as shorter blocks and narrower streets generally result in less pavement. Accessibility to businesses on foot or by bike can increase patronage from passersby. Creating a sense of place and livability attracts new business and helps retain existing business. Transportation cost savings for businesses allows for reallocating or increasing profit.

Public Health & Recreation
Connected multimodal streets create an environment that fosters walking and biking, resulting in more daily activity and more healthy lifestyles. This can help combat the rising rates of obesity, asthma, and stress. Less pavement leaves more land available for additional development or greenspace, which provide additional opportunities for physical activity.

Environment & Energy
By dispersing traffic, providing efficient route options, and encouraging alternative modes of transportation, a network of multimodal streets reduces congestion and trip lengths—and therefore noise pollution, energy consumption, and emissions. Multimodal streets generally require less pavement, which reduces stormwater runoff and the heat island effect. They can also improve water quality,, through the use of green stormwater practices within the right-of-way.

More Efficient Public Services
Connected multimodal streets provide direct, continuous routes and multiple route options. This reduces response times for emergency vehicles and improves access and efficiency for transit, school buses, and service vehicles, including solid waste trucks and street sweepers. Appropriately-sized streets can accommodate large service vehicles while promoting safe driving speeds without the use of speed humps that can slow emergency response time.

Livability & Higher Quality of Place
A safe, attractive, and welcoming street is crucial to encouraging residents to walk and bike. Using surrounding land use and context to inform their design, complete streets satisfy user needs and street functions in a context-sensitive manner. Well-designed streets become quality places that provide better travel experiences for motorists, walkers, and bicyclists. Elements including street trees, landscaping, shade, lighting, building scale, building orientation, setbacks, and buffers from traffic contribute to design quality.",,Off
Theme D - Placemaking Policy 1,1,Implement the Town Branch Commons Strategic Master Plan as an element of the Comprehensive Plan.,en,"topic: Transportation, Economic Development, Greenspace, Health, Quality of Life, Community Facilities",A2:A3:A4:B2:B3:D1:D2,A2a:A2b:A2c:A3b:A3c:A3d:B2b:B2d:B3a:B3c:C1d:C2d:D1a:D1b:E1b,Town Branch Commons Strategic Master Plan,"Town Branch Commons will be a strip of Bluegrass running through downtown Lexington, roughly following the path of Town Branch, Lexington’s first water source. It will link the city's two major trails, Town Branch Trail and the Legacy Trail, to provide 22 miles of uninterrupted trail connecting downtown to the rural landscape. The Town Branch Commons is all-inclusive of the Town Branch Park, Town Branch Trail, immediately adjacent parks, pedestrian spaces, and connections to other downtown parks/plazas/etc. To establish Town Branch Commons as the centerpiece of the community, the following critical pieces need to be ensured and safeguarded, particularly as future development occurs along the trail:

Access management:
Limit the number of access points to maintain the safety and aesthetics of the multi-use trail, and ensure the fewest potential conflict points between vehicles and pedestrians or cyclists.

Design guidelines:
Establish design guidelines for existing and future development adjacent to the corridor that strengthen the City’s zoning and further lay out key elements, such as: encouraging pedestrian entrances and facades that face rather than turn their backs to the multi-use trail system; defining appropriate and inappropriate uses along the corridor (e.g. back of house or dumpster locations, drive-thrus, etc.); and ensuring access to surrounding open space and trail systems.

Economic development:
Perform a study to determine the direct economic impact of potential redevelopment along the entire corridor, as well as the potential social and economic impact to the surrounding neighborhoods and downtown as a whole.  This study should also explore incentive feasibility and policy changes that may assist and guide future development along the corridor.

Green infrastructure:
Continue to make design and development decisions that work to improve the overall water quality and urban ecology of the surrounding properties which directly feed into the Town Branch Commons infrastructure and help to maintain the performative landscape established in the Master Plan.

History & education:
Enhance the experience of Town Branch Commons through ongoing way-finding and educational signage that highlights not only the history of Town Branch itself but the surrounding neighborhoods, people, and public spaces.","Establish land use and transportation design guidelines for development adjacent to Town Branch Commons.
Perform a study to determine the economic and social impacts of Town Branch Commons.",Off
Theme D - Placemaking Policy 2,2,"Retrofit incomplete suburban developments, incorporating elements that create complete neighborhoods.",en,"topic: Housing, Transportation, Economic Development, Greenspace, Health, Quality of Life",A1:A2:A3:A4:B2:D1:D2:E1,A1a:A1b:A1c:A1d:A2a:A2b:A2c:A3a:A3b:A4a:A4b:B2b:C1e:C2b:C2d:D1a:D1b:D2c:E1a:E1b:E1d,Retrofit Incomplete Suburbs,"For decades, Lexington embraced strong Euclidian zoning as a way to protect residential uses from the negative externalities of incompatible land uses.  However, the market has seen a significant shift in residential consumer preferences, to which Lexington must respond and address with more modern zoning regulations.  Primarily, Lexington’s economy, like the national economy, has shifted away from many of the most incompatible land uses, while at the same time, there has been a boom in the services and retail sectors. Today, people are also seeking to live in areas where they can get all their needs met without being forced to drive as far, or in some cases, at all.  A complete neighborhood should contain residential, employment, commercial, recreational and civic uses that serve the overall needs of the area.  Where these do not exist, Imagine Lexington advocates for complementary infill and development to meet those needs.",,Off
Theme D - Placemaking Policy 3,3,Establish design standards for placemaking.,en,"topic: Housing, Transportation, Economic Development, Greenspace, Quality of Life, Community Facilities",A1:A2:A3:A4:B2:B3:D1:D2,A1a:A1b:A1c:A1d:A2b:A2c:A3a:A3b:A3c:A3d:A4a:A4b:B2b:B2d:B3a:B3b:B3c:B3d:C1d:C2d:D1a:D1b:D2c:E1b:E1c:E1d,Placemaking Design Standards,"Having thoughtful design standards that are both flexible and responsive to diverse conditions is an essential component of moving toward a community filled with special places that are inviting and memorable.  Such standards are needed for the benefit of government projects involving public spaces, as well as for private entities striving to build quality developments on adjoining private lands.  Without comprehensive standards that address both the public and private realms, even hard work and the best intentions will frequently not result in the high level of quality “placemaking” that the community expects and deserves.

Within the public realm, street and sidewalk design, landscaping and progressive storm water management, usable and calming pockets of greenspace, street life and art, festivals, celebrations and other special events, and transportation connections and destinations are all important.  In the private realm, there is an equally long list of design issues that must be addressed, including building mass and height, building orientation toward public spaces, provision of usable open space, design of streetscape features, location and orientation of garages and off-street parking, integration of mixed uses and diverse housing choices, and relationships to adjoining and/or surrounding land uses.  For both public and private land development, accommodating the needs of bikers and pedestrians in addition to vehicles is an increasingly important challenge.

Historically, government regulations and policies relating to development have been fairly rigid and not responsive to diverse conditions.  That needs to change.  Also, in many instances there are conflicting goals between different arms of government that ultimately discourage rather than encourage the creation of special places.  That also needs to change.  These elements of change, which will likely require amendments to the Zoning Ordinance and Land Subdivision Regulations (and related regulations and policies), should be pursued with a high expectation of what needs to be accomplished as both public and private lands are developed.",Amend the zoning ordinance to include placemaking elements.,Off
Theme D - Placemaking Policy 4,4,Create quality and useable open space for all developments over one acre.,en,"topic: Greenspace, Health, Quality of Life, Community Facilities",A3:A4:B2:B3:D2,A2c:A3c:A3d:B2b:B3c:C1d:C2d:E1a:E1b,Quality Useable Open Space,"Open space is key for livable, sustainable communities. Whether a commercial development or residential neighborhood, how people will interact and move within a space needs to be considered. Successful, usable open space requires both private and public open space areas, designed and incorporated intentionally into the fabric of all development.
Currently, “usable” open space is subjective, and there needs to be a diligent effort to establish criteria to define such a space. In practice, any non-paved/built area is permitted to be considered open space. Truly usable open space needs to be appropriately sized and needs to address different users’ demands through design. A public open space within an assisted living facility is not necessarily the same type of open space that is most suitable for a mixed-use development. During the design of a property’s development, the best open space design needs to be considered for the projected user.

Ordinance-based text needs to be updated in order to ensure implementation of usable open space. The current definition for open space is lacking emphasis on its importance, and because of this, open space is not always implemented in the most purposeful way. A definition that emphasizes the many benefits and necessary characteristics of open space is needed. These benefits and characteristics include social interaction, recreation and leisure, health, safety, education, natural or cultural resource protection, sense of place and economic vitality. These benefits and characteristics will vary by user group and will need to be assessed and personalized for each development.

When it comes to reviewing development, an updated definition is key, but more regulations would provide staff, developers and community members guidance as to what to expect for the provision and design of open space. These regulations should address size requirements, the provision of both public and private open space, and user-tailored design, as well as restrictions, exclusions and exceptions to a development’s provision of open space. Providing a more clear vision for what constitutes usable open space will result in a livable, sustainable community that serves the needs of all people.",,Off
Theme D - Placemaking Policy 5,5,Review zoning ordinance and subdivision regulations to create more walkable places.,en,"topic: Transportation, Health, Quality of Life",A3:A4:B2:D1:D2,A2d:A3b:A4a:B2d:C1e:C2d:D1a:D1b:E1b,Review Regulations for Walkability,"As was prominently discussed in Theme A, from a standpoint of developing great neighborhoods, there should be a focus on creating pedestrian-friendly streets and walkable blocks that make traversing them on foot a desirable activity.  Reducing setbacks and shortening block lengths will make it easier for people to get around their neighborhoods and access the public and private amenities close to them.  The full argument for implementing these principles is laid out clearly in Theme A.  While the policy in that chapter places the impetus on the developer to submit plans that address the issue, this policy is for Planning and other divisions to address the underlying regulations that may hold back pedestrian-friendly development. It is important to ensure that revising and updating regulations be done with a purpose and a sharp focus on solving a problem. A full review of the zoning ordinance and subdivision regulations are needed with an aim to answer a singular question: Will a change make it easier or harder for people to connect pedestrians to destinations?",,Off
Theme D - Placemaking Policy 6,6,Amend the Expansion Area Master Plan to update the remaining residential area to reflect the 2018 Comprehensive Plan’s Goals and Objectives.,en,"topic: Housing, Transportation, Economic Development",A1:A2:A3:A4:C2:D1:D2:E1,A1a:A1b:A1c:A1d:A2a:A2c:A2d:A3a:A3b:A3c:A3d:A4a:C1a:C2b:C2c:C2d:D1a:D1c:E1a:E1b:E1d:E1e,Expansion Area Master Plan,"The adoption of the Expansion Area Master Plan (EAMP) in 1996 created a framework for zoning and public infrastructure that was entirely new to Lexington.  However, there has been a significant shift in development patterns and land costs since that plan was adopted.  Four comprehensive plans later, with all of Expansion Area 1 still to be developed, there is still time to reopen the EAMP and examine that area with fresh eyes against the needs of Lexington today.  Providing for a more appropriate mix of housing options, creating a complete community (see Placemaking Policy #2) as well as taking a fresh look at the transportation infrastructure needs of the entire area would be the primary goals of the plan.  

Similarly, this would give Lexington the ability to reevaluate the exaction fee program as it relates to the Economic Development (ED) zone.  As laid out in previous chapters, jobs land generates a significantly higher tax return per acre than residential growth, which makes finding methods to incentivize development of ED land a priority of this plan.  The 2013 Comprehensive Plan called for a workgroup to look at the broader ED issue, and while that work did result in a zoning ordinance text amendment, it was clear that further work must be done on the cost side to address the issue more fully.
",Update the Expansion Area Master Plan.,Off
Theme D - Placemaking Policy 7,7,"Cultivate a more collaborative pre-development process, incorporating community feedback before development is formally submitted for review.",en,topic: Quality of Life,A4:D2:F1,A1a:A2d:A3a:D2c:F1a:F1b:F1c:F1d,Community Engagement on Development,"When developers submit proposed developments, affected communities often hear about them for the first time through required public notice. Though some developers do communicate in advance, it does not always result in a productive conversation. With additional efforts put forth to ensure community awareness and support from the outset, considerable time and expense may be cut from all facets of the development process.

From the very beginning, applicants should clearly lay out the economic realities of their property, and neighbors should express the needs of their community. Going forward, there is an expectation that applicants will engage in good faith with neighborhoods in a visioning process about how the needs of the developer and the community can be met together.

The first steps in creating this collaborative system have been taken by the Division of Planning via The Placebuilder (p 257) and Buildingeye (lexingtonky.buildingeye.com). A key purpose of The Placebuilder is to start the conversation between developers, neighbors, and Staff by strongly encouraging engagement at the beginning of the process and providing guidance for development justifications. Buildingeye is an online application that allows anyone with an account to track and review development activity throughout Fayette County. The application allows users to create alerts regarding development in their area and provides an efficient way to track the status of projects from Development Plan submittal to Certificate of Occupancy. In addition to these tools, Planning Staff should always be available in a support role to explain process, the Zoning Ordinance, and adherence to the Comprehensive Plan.
",Host workshops with development and neighborhood interests to create a collaborative pre-development process.,Off
Theme D - Placemaking Policy 8,8,Develop a tactical placemaking program within the Division of Planning to work with interested neighborhoods and aid in the organization of activities.,en,topic: Quality of Life,A3:D2:D4:F1,A2c:A3b:B3d:C2d:E1b,Tactical Placemaking Program,"According to Placemaking as an Economic Development tool by Michigan State University in 2015, “Tactical placemaking” is a process of creating quality places that uses a deliberate, often phased approach to physical change or new activation of space that begins with a short-term commitment and realistic expectations that can start quickly (and often at low cost). It targets public spaces (right of way, plazas, etc.) that are low risk, with the possibility of high rewards. It can be used continuously in neighborhoods, with many stakeholders. It includes a mix of small projects and short-term activities; over a long period of time, tactical placemaking projects can transform an area. Positive impacts may be slow to materialize, but they often come at a much lower cost. This form of placemaking can also be used to build consistent demand for more substantive or long-term standard, creative, or strategic placemaking projects or activities. 

In Lexington, the NoLi CDC’s Night Market is a good example of placemaking to activate an underused public space. Over the past few years, the Night Market has grown into a bigger space, with more vendors, more attendees, and more vibrant programs, with the community’s support. Interested neighborhoods are encouraged to initiate similar activities, which will be supported by Division of Planning. Further, the Division is looking to encourage tactical placemaking activities and be an active partner with interested neighborhoods.",Work with Council to increase staffing to develop a tactical placemaking program within the Division.,Off
Theme D - Placemaking Policy 9,9,"Honor Lexington’s history by requiring new development and redevelopments to enhance the cultural, physical, and natural resources that have shaped the community.",en,"topic: Housing, Economic Development, Greenspace, Quality of Life",A3:A4:D3,A2b:A3a:A3c:B3b:B3d:C1d:D2c:D3a:D3b:D3c:E1d:E2a:E2b,Enhance Lexington's History,"Lexington’s history can be told in many ways, but none better than to look around and see the cultural places, the important structures, and the natural landscapes that created this community.  In order for the community to continue to move forward, there must be recognition of the importance of the past, ensuring that it lives on for future generations. 

Lexington and rural Fayette County have a rich and diverse cultural history that began before statehood.  This heritage is evidenced in the natural environment of the County’s rural landscape and the built environment of its urban areas. The cultural landscape includes agricultural and horse farms, landscape features, barns, outbuildings, fences, and archaeological sites.
Historic and architecturally signiﬁcant buildings are important in that they create a unique place to live and work.  A well-planned community incorporates both the new and the historic; a balance that attracts businesses, residents, and tourists who seek a unique environment.  Historic properties and sites are resources that provide citizens not only with places to experience and enjoy, but also economic development and tourism opportunities.  

The preservation of historic buildings, neighborhoods, landscapes and other cultural resources provide beneﬁts to the citizens that in many ways cannot be measured.  These benefits include:
 
• Sense of Place provides a visible symbol of our heritage, a connection to the past, and a source of pride.  Historic buildings, neighborhoods, signiﬁcant rural landscapes and other places have unique characteristics, deﬁne the community, and have qualities that are, in many cases, indeﬁnable. These buildings, neighborhoods, rural landscapes and other places are resources that are important to protect and preserve.
• Cultural Tourism, which includes historic, cultural, and preserved sites, is one of the major reasons that people travel to selected destinations.  The rich historic and cultural heritage of Lexington includes a variety of sites making it a prime destination for cultural tourism.

• Economic Benefits from historic preservation accrue in a variety of ways. Federal and State Historic Tax Credits may be available as an incentive for historic restoration and to offset some of the costs.  Preserved buildings can be put to use as economic generators, for both public and private use, as the renovated Courthouse Square demonstrates.

• Community Pride & Accomplishment are by-products of preservation efforts as citizens of the community become involved in projects that protect or enhance important symbols of their heritage.

Lexington has protected assets through National Register designation of historic districts (25), landmarks (3) and individually listed properties.  Numerous other structures throughout the community have been voluntarily preserved, and recognized by the Blue Grass Trust for Historic Preservation, a local non-profit organization that strives to protect, revitalize and promote the special historic places in our community in order to enhance the quality of life for future generations.   

Lexington designated its first local historic district in 1958, with the protection of Gratz Park, a small near-downtown neighborhood between West Second and West Third Streets.  Since that time, 15 districts and two landmarks have been so designated, and are under the jurisdiction of the Board of Architectural Review. The districts are as follows: Ashland Park, Aylesford, Bell Court, Cadentown, Constitution, Elsmere Park, Fayette Park, Gratz Park, Mulberry Hill, Northside, Seven Parks, South Ashland/Central Avenue, South Hill, Western Suburb, Woodward Heights.  (MAP TO FOLLOW).  The two locally protected landmarks are Helm Place in the Rural Service Area and St. Paul A.M.E Church located on N. Upper Street near West Third Street.  
The community has continued to designate local historic districts at the pace of about two per decade, and in recent years, even expanded the Western Suburb local historic district. Although local historic district designation is one way to protect historic structures and the neighborhoods that surround them, the community should continue to work to encourage preservation of structures that have value within the community, and to support adaptive reuse or incorporation of such structures into redevelopment projects. Consideration should also be given to existing historic neighborhoods that are adjacent to proposed development. Infill and redevelopment projects should take extra care to acknowledge the architectural character, materials, height and mass, scale and connectivity of historic neighborhoods, and create developments that enhance these areas.  

A number of roadways throughout the community have been recognized for their cultural and scenic value.  Such designation includes scenic byways, historic turnpikes, scenic roadways and corridors, and rural scenic roads. These corridors are a critical asset to the community’s aesthetic and branding as the Horse Capital of the World, and should continue to be protected through building setbacks, maintenance of stone fences and preservation of tree canopy, all of which add to the quality of these roadways and corridors.

Stone fences continue to be a resource along rural corridors, and even within the farms around the community.  These limestone fences were built by hand, many by slaves, and have been used in new developments to create a connection to the past.  Such fences are often on state rights-of-way and are expensive to maintain; however, stone fences have also been found within central Kentucky farms, and such fences should be identified and preserved because they are an important asset to the cultural history of the community.",,On
Theme D - Placemaking Policy 10,10,Coordinate with the Public Art commission to designate public art easements on new development that would be curated by the Commission.,en,"topic: Economic Development, Quality of Life, Community Facilities",A3:D4,A2b:A2d:A3b:C1d:C2d,Public Art Easements,"The creation of the adaptive reuse ordinance in 2008 was the first time the zoning ordinance considered any provision for public art on private property.  Since that time, public art in Lexington has become a substantial part of the urban fabric.  Having the public art commission work with HOAs or neighborhood groups to designate locations in existing development, as well as rotate public art installations for display, would assist those groups that are interested in supporting the arts but are not sure where to begin.  Further engagement with the Public Arts Commission to curate areas designated on development plans for public art would allow for the promotion of new artists in the community and keep those spaces fresh and popular for visitors.",Initiate discussions with the Public Art Commission about potential ordinance revisions to increase public art opportunities.,Off
Theme D - Placemaking Policy 11,11,Update the Adaptive Reuse Ordinance,en,"topic: Housing, Economic Development, Quality of Life",A1:A2:A3:B2:C1,A1a:A1b:A1d:A2a:A2b:A2d:A3a:A3b:C1b:C1d:C1e:C2d:D3a:D3b:D3c:E1b:E1d,Adaptive Reuse Ordinance,"The creation of the Adaptive Reuse provisions in the Wholesale Warehouse (B-4) and Light Industrial (I-1) zones was a boon to Lexington’s economy.  Adaptive reuse projects were typically located in areas where the original land uses were no longer desirable because of their lack of proximity to major travel corridors.  Many of these older industrial areas are also located very close to well established neighborhoods, because housing within walking distance of these major employers was highly desirable. Over time, some of these places were long forgotten by the public and written off as “old industrial areas”, or worse, perceived to be vacant brownfields or blighted areas that residents feared to drive through.  However, there were others who had a vision for renovation and reinvigoration, but they were hampered by the zoning requirements at the time, especially because of onerous suburban parking provisions that would otherwise have led to the demolition of existing buildings simply to provide for more surface parking.  The Adaptive Reuse provisions have allowed underutilized areas to find new life as retail, residential and commercial space, softening the blow to the local economy by relatively quickly returning that land to productive and desirable land uses.
The Zoning Ordinance was modified in 2006 to permit industrial mixed-use projects to implement a concept and recommendation of the Newtown Pike Extension Corridor Plan, which was adopted by the Planning Commission in 2002.  The adaptive reuse provisions were later adopted in 2008, as a logical progression of that concept, which allowed for the creation of the Distillery District and, later, the West SIxth Brewery.  Both projects sparked a redevelopment along their respective corridors that continues today.  

While the enabling ordinance for these projects has clearly been successful, some adaptive reuse projects have also created unintended consequences that are not being adequately addressed through the development plan process, specifically nuisance issues for neighboring properties and a lack of quality pedestrian improvements in the corridors to encourage alternatives for people to access these popular areas.  Like any good regulating document, the Ordinance should be periodically reviewed to ensure that the community’s desired outcomes are being met. The Zoning Ordinance--specifically the locational and project criteria, the list of permitted uses, and the parking requirements--should be reviewed and updated to account for the subsequent policy shifts of the last two comprehensive plans.",Update the Adaptive Reuse Ordinance.,Off
Theme D - Placemaking Policy 12,12,Analyze underutilized commercial property through corridor land use and transportation studies.,en,"topic: Housing, Transportation, Economic Development",A1:A2:A3:B2:D1:E1,A1a:A1b:A1c:A1d:A2a:A2d:A3a:A3b:B2c:B2d:C1d:C2a:C2b:C2d:D1a:D1b:D1c:E1a:E1b:E1c:E1d,Underutilized Commercial Property,"The goals and objectives of this comprehensive plan very plainly call for an intensification of the major corridors. Other proposed policies throughout the document have taken aim at the regulatory side of the equation.  Another critical aspect of this policy framework is to engage the public along these corridors about these issues and what forms these intensifications may take.  Long Range Planning has already begun meeting with various commercial landowners, developers and property managers about their visions for their sites and how they can take advantage of the already modified zoning tools 

Corridor studies will be a partnership between the Division of Planning, the Metropolitan Planning Organization and the respective corridor’s commercial stakeholders about future land uses and transportation needs.  The public involvement will be critical to cultivating buy-in, just as it has been on every previous small area plan.  Of the utmost importance will be setting milestones to achieve a level of commercial and residential intensity to support mass transit along these corridors.  The goal will be to think big and for the long term, while allowing policymakers to act incrementally. These studies will very likely continue over the next 10 to 15 years, with implementation lasting even longer.  However, the guidance of these studies will be long lasting for LexTran and the property owners in how they plan their future growth and development.",Perform corridor studies along arterial streets that examine land use and transportation elements.,Off
Theme D - Placemaking Policy 13,13,Update the Downtown Master Plan.,en,"topic: Housing, Transportation, Economic Development, Greenspace, Quality of Life",A2:B3:C1:C2:D1:D4:E1,A1a:A2d:B3c:C1a:C1b:C1c:C1d:C1e:C2a:C2b:C2c:C2d:D1a:D1b:D1c:D1d:E1b:E1c:E1d,Downtown Master Plan,"The current Downtown Master Plan focused largely on specified projects and proposed infill locations.  Since its adoption, the identified projects have largely either been completed or jettisoned for one reason or another.  Further, the broad focus on infill lot identification did little to provide guidance on how those properties should develop.  A more refined approach to look at use and form is overdue, as is a deep dive on how infill projects will fit in and enhance their surrounding areas.",Update the Downtown Master Plan.,Off
Theme D - Placemaking Policy 14,14,Pursue a regional park system.,en,"topic: Greenspace, Health, Quality of Life, Community Facilities",A3:A4:B3:C1:C2:D2,A2c:A3b:A3c:A3d:B2b:B3b:B3c:B3d:C1d:C2d:D1b:E1b,Regional Park System,"Regional parks can provide multiple community-wide benefits relating to public health, recreation and environmental protection. They serve the city as a whole, in comparison to smaller parks, which meet local needs. Such parks are typically fairly large in terms of acreage, and often include significant environmental features such as waterbodies, floodplains, forests or sensitive natural habitats.  

According to YOUR PARKS OUR FUTURE, Regional Parks and Nature Parks tend to be located regionally, while serving citywide needs. The LFUCG Division of Parks and Recreation currently operates five (5) Regional Parks: Coldstream, Jacobson, Masterson Station, Shillito, and Veterans. Although these parks are well distributed, gaps exist in the northeastern and western portions of Lexington. The city also has three Nature Parks (four counting The Arboretum), which are also distributed throughout the county, but none are located in the north or west. Raven Run and McConnell Springs experience heavy use, which could lead to negative impact on the character of the sites and user experiences. More natural areas and more nature parks like Raven Run in other parts of the county are requested among the Parks Master Plan citizen surveys.

YOUR PARKS OUR FUTURE also recommends proposed regional and nature parks, and identifies four new or expanded parks in Lexington that would help to meet the needs of the growing population of the city. These improvements represent the development of one existing park, one private park, and two long-term acquisition areas. Although the need for the development of the new parks is long-term, the acquisition of the land of these potential parks should be considered before the necessary land is no longer available or becomes cost-prohibitive. Lexington should investigate opportunities for the acquisition of land for a future Regional Park in the northeast portion of Fayette County to meet the needs of a growing and underserved area. The city should similarly explore potential acquisition of land for a new Nature Park (or preserve) to be located to the west of the Urban Service Boundary to meet expanding regional demand and to prevent overuse of existing natural areas. 

Expansion of Cardinal Run to a Regional Park would address the gap in service for Regional Parks in the western portion of Lexington. The City of Lexington and the Division of Parks and Recreation also continue on the efforts for proposed Town Branch Park, with public and private partnership. This park would provide a much-needed regional recreational attraction in downtown Lexington.

Other parks could be integrated into the expanding system of public greenways and trails scattered throughout the county, and located to complement those private rural lands that are being preserved through the Purchase of Development Rights (PDR) program.  While a thorough study and analysis of potentially available priority land will ultimately be needed, certain areas that include prominent creek watersheds immediately come to mind as possibly offering excellent opportunities, such as Boone Creek, North and South Elkhorn Creeks and Town Branch Creek.

Funding for a regional park system will be a major challenge, but that alone should not serve as a defining deterrent.  Many determined communities across the country have responded to funding needs in creative and progressive ways.  Through a combination of local government investment, support from the development review and approval process, and citizen/corporate contributions via establishment of private foundations, an outstanding array of parks at a regional scale can be created.","Implement the recommendations from the Your Parks, Our Future Parks Master Plan.",On
Theme D - Placemaking Policy 15,15,Develop a new citywide festival to entice visitors and provide additional draw during the tourism off-season.,en,"topic: Economic Development, Quality of Life",C2:D4,A3b:C1b:C1d:C2d,Develop a Citywide Festival,"In late 2017, VisitLex shared their Destination Development Plan with the Council at a work session, and recommended the creation of a major festival.  Many communities around the United States and the world have unique festivals that draw visitors from around the globe.  Examples like the Jazz & Heritage festival in New Orleans, the Sundance Film Festival in Park City Utah, and the more obscure Ostrich Festival in Chandler, Arizona, show that there is a lot of latitude when determining the focus of the festival.  However, Lexington is fortunate to already have internationally recognized quantities in the horse and bourbon industries, and would not need to reinvent the wheel for a unique and authentic experience.  Festivals draw in visitors from all around, but also pull the community together through a shared experience and celebration of culture.  There is a massive amount of potential to follow through with a world-class festival that, through a large marketing effort, could have widespread national and international appeal.",,Off
